epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,3138.57,1.59989,1.04653,0.90576,0.71197,0.71071,0.70487,0.28463,1.8975,1.34511,0.96215,0.000666024,0.000666024,0.000666024
137,3160.93,1.65195,1.14785,0.91563,0.6797,0.67487,0.67366,0.27248,1.90964,1.38114,0.95977,0.000664224,0.000664224,0.000664224
138,3184.03,1.70001,1.066,0.91607,0.6854,0.67804,0.67227,0.27282,1.92131,1.36931,0.9677,0.000662425,0.000662425,0.000662425
139,3206.86,1.65329,1.09913,0.92063,0.65177,0.6893,0.67693,0.26618,1.95396,1.38048,0.97009,0.000660625,0.000660625,0.000660625
140,3229.98,1.68147,1.11352,0.88121,0.74973,0.67423,0.69829,0.27818,1.94422,1.35743,0.96121,0.000658825,0.000658825,0.000658825
141,3253.22,1.63072,1.09106,0.90711,0.71952,0.69344,0.68295,0.28621,1.92997,1.30708,0.96226,0.000657025,0.000657025,0.000657025
142,3276.98,1.64781,1.17413,0.91841,0.81303,0.75512,0.75469,0.28477,1.97918,1.28373,0.98123,0.000655225,0.000655225,0.000655225
143,3302.42,1.71705,1.1823,0.94534,0.78217,0.72072,0.67171,0.24794,2.11694,1.34753,1.01601,0.000653426,0.000653426,0.000653426
144,3325.72,1.64202,1.12336,0.88706,0.68635,0.66328,0.61209,0.24401,2.03974,1.4509,0.98326,0.000651626,0.000651626,0.000651626
145,3350.46,1.63563,1.11227,0.89615,0.67519,0.65296,0.60483,0.24048,2.03759,1.44168,0.98132,0.000649826,0.000649826,0.000649826
146,3373.7,1.72623,1.20025,0.91594,0.73074,0.69663,0.64999,0.26475,2.00393,1.37795,0.97786,0.000648026,0.000648026,0.000648026
147,3396.88,1.73923,1.17058,0.92387,0.75772,0.70347,0.69572,0.27735,1.98822,1.32645,0.97903,0.000646226,0.000646226,0.000646226
148,3420.3,1.64293,1.08574,0.92782,0.79657,0.74035,0.72997,0.29338,1.93727,1.29622,0.9757,0.000644426,0.000644426,0.000644426
149,3443.31,1.70983,1.12293,0.93112,0.78844,0.70896,0.6989,0.26949,1.97517,1.34057,0.97568,0.000642627,0.000642627,0.000642627
150,3467.1,1.62634,1.12527,0.90074,0.70336,0.59511,0.61662,0.22307,2.06324,1.41609,0.98002,0.000640827,0.000640827,0.000640827
151,3492.61,1.67591,1.17207,0.91804,0.7088,0.60179,0.60588,0.22062,2.0588,1.42254,0.97954,0.000639027,0.000639027,0.000639027
152,3515.86,1.6631,1.10034,0.89965,0.76299,0.71164,0.70559,0.28086,1.92541,1.30723,0.97364,0.000637227,0.000637227,0.000637227
153,3539.05,1.72636,1.15546,0.91471,0.77817,0.72391,0.70268,0.27684,1.91782,1.30785,0.96839,0.000635427,0.000635427,0.000635427
154,3562.63,1.62928,1.08011,0.92212,0.82473,0.74639,0.7464,0.288,1.91641,1.28808,0.97025,0.000633628,0.000633628,0.000633628
155,3586.66,1.66151,1.1581,0.91525,0.7999,0.73232,0.72915,0.28947,1.93518,1.29081,0.9701,0.000631828,0.000631828,0.000631828
156,3610.4,1.63497,1.08496,0.89319,0.76018,0.70395,0.69385,0.25453,2.07457,1.41331,0.97736,0.000630028,0.000630028,0.000630028
157,3632.83,1.60487,1.01884,0.88922,0.72574,0.69348,0.68055,0.25291,2.06647,1.44584,0.97585,0.000628228,0.000628228,0.000628228
158,3656.85,1.67999,1.13269,0.91039,0.75378,0.72407,0.71186,0.2818,1.99592,1.38173,0.96844,0.000626428,0.000626428,0.000626428
159,3679.81,1.62652,1.10726,0.91697,0.78437,0.73351,0.74668,0.29306,1.93199,1.29065,0.96604,0.000624628,0.000624628,0.000624628
160,3702.63,1.68564,1.07805,0.91739,0.77192,0.71679,0.72901,0.28458,1.92439,1.33111,0.96203,0.000622829,0.000622829,0.000622829
