epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,2522.5,0.75879,1.66949,0.64022,1.07393,0.98081,0.89668,0.98691,0.75599,0.96059,0.8554,0.91883,0.45581,0.87532,2.76847,0.59023,1.18334,0.000515,0.000515,0.000515
77,2553.08,0.76989,1.93816,0.64484,1.06021,0.99517,0.94737,0.98803,0.75475,0.94363,0.88115,0.90763,0.45813,0.87331,2.70032,0.60146,1.17045,0.0004952,0.0004952,0.0004952
78,2584.23,0.78922,1.79621,0.64676,1.05604,1,0.94348,0.98844,0.74558,0.96283,0.90886,0.9592,0.47387,0.90016,2.62102,0.61605,1.16859,0.0004754,0.0004754,0.0004754
79,2614.99,0.73377,1.6683,0.60384,1.03576,1,0.94624,0.98824,0.73336,0.96292,0.91116,0.94629,0.46582,0.89419,2.57664,0.60692,1.1639,0.0004556,0.0004556,0.0004556
80,2645.92,0.70026,1.65437,0.62703,1.03447,0.99681,0.94737,0.98741,0.74675,0.9228,0.87719,0.89102,0.48888,0.80018,2.54522,0.5719,1.14534,0.0004358,0.0004358,0.0004358
81,2676.32,0.73525,1.80703,0.59801,1.05592,1,0.95972,0.98621,0.75091,0.92279,0.87719,0.8869,0.50191,0.80142,2.60578,0.5826,1.15214,0.000416,0.000416,0.000416
82,2706.66,0.74376,1.8829,0.61352,1.083,0.99873,0.96491,0.98596,0.73817,0.89237,0.87285,0.87245,0.48326,0.82555,2.73659,0.59004,1.17524,0.0003962,0.0003962,0.0003962
83,2737.39,0.73518,1.70235,0.59934,1.02228,0.99749,0.96491,0.98763,0.7349,0.91815,0.87719,0.89164,0.46127,0.83572,2.84491,0.59869,1.192,0.0003764,0.0003764,0.0003764
84,2769.2,0.68539,1.64709,0.55224,0.9968,0.97814,0.94737,0.96394,0.72379,0.92321,0.89474,0.90037,0.47881,0.89526,2.87718,0.57494,1.26828,0.0003566,0.0003566,0.0003566
85,2800.76,0.75973,1.77015,0.61864,1.08633,0.97998,0.96491,0.98248,0.73284,0.9081,0.89474,0.90074,0.49939,0.8915,2.81065,0.57752,1.24265,0.0003368,0.0003368,0.0003368
86,2832.24,0.73906,1.72579,0.59854,1.05233,0.99398,0.94737,0.98816,0.74487,0.91797,0.87719,0.9,0.50586,0.85888,2.69429,0.56419,1.20579,0.000317,0.000317,0.000317
87,2862.56,0.69807,1.66818,0.57751,1.02493,0.98179,0.94576,0.96144,0.74826,0.9259,0.89474,0.89693,0.51217,0.80431,2.64609,0.561,1.16631,0.0002972,0.0002972,0.0002972
88,2893.56,0.71172,1.75654,0.58823,1.02648,0.99494,0.92982,0.97925,0.75088,0.91974,0.85965,0.87102,0.48544,0.77955,2.59352,0.57762,1.15867,0.0002774,0.0002774,0.0002774
89,2923.82,0.71261,1.83055,0.5998,1.06234,0.99404,0.92982,0.98068,0.73513,0.9189,0.85965,0.86819,0.48788,0.79337,2.57482,0.57601,1.16689,0.0002576,0.0002576,0.0002576
90,2954.78,0.68805,1.60429,0.57969,1.01525,0.97839,0.91228,0.97079,0.72588,0.92564,0.87363,0.88769,0.48318,0.7923,2.58372,0.58131,1.17229,0.0002378,0.0002378,0.0002378
